game,mechanism,model,player,label,count
PrisonersDilemma,Contracting,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P2,Rule misunderstanding,1
PrisonersDilemma,Contracting,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P2,Uncertainty evaluation,1
PrisonersDilemma,Mediation,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P1,Strategic equilibrium focus,18
PrisonersDilemma,Mediation,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P1,Individual utility maximization,8
PrisonersDilemma,Mediation,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P1,Trust evaluation,4
PrisonersDilemma,Mediation,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P1,Strategic influence,3
PrisonersDilemma,Mediation,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P1,Multidimensional reasoning,2
PrisonersDilemma,Mediation,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P1,Social welfare maximization,2
PrisonersDilemma,Mediation,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P1,Risk aversion,1
PrisonersDilemma,Mediation,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P2,Strategic equilibrium focus,18
PrisonersDilemma,Mediation,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P2,Individual utility maximization,9
PrisonersDilemma,Mediation,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P2,Trust evaluation,7
PrisonersDilemma,Mediation,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P2,Strategic influence,2
PrisonersDilemma,Mediation,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P2,Multidimensional reasoning,2
PrisonersDilemma,Mediation,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P2,Social welfare maximization,1
PrisonersDilemma,Mediation,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P1,Strategic equilibrium focus,18
PrisonersDilemma,Mediation,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P1,Individual utility maximization,12
PrisonersDilemma,Mediation,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P1,Risk aversion,2
PrisonersDilemma,Mediation,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P1,Multidimensional reasoning,2
PrisonersDilemma,Mediation,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P1,Strategic influence,1
PrisonersDilemma,Mediation,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P1,Social welfare maximization,1
PrisonersDilemma,Mediation,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P2,Strategic equilibrium focus,18
PrisonersDilemma,Mediation,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P2,Individual utility maximization,12
PrisonersDilemma,Mediation,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P2,Social welfare maximization,4
PrisonersDilemma,Mediation,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P2,Strategic influence,1
PrisonersDilemma,Mediation,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P2,Multidimensional reasoning,1
PrisonersDilemma,Mediation,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Strategic equilibrium focus,15
PrisonersDilemma,Mediation,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Risk aversion,14
PrisonersDilemma,Mediation,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Multidimensional reasoning,11
PrisonersDilemma,Mediation,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Uncertainty evaluation,10
PrisonersDilemma,Mediation,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Individual utility maximization,8
PrisonersDilemma,Mediation,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Strategic influence,5
PrisonersDilemma,Mediation,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Exploration-exploitation trade-off,5
PrisonersDilemma,Mediation,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Social welfare maximization,2
PrisonersDilemma,Mediation,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Trust evaluation,1
PrisonersDilemma,Mediation,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P2,Individual utility maximization,16
PrisonersDilemma,Mediation,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P2,Uncertainty evaluation,12
PrisonersDilemma,Mediation,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P2,Strategic equilibrium focus,11
PrisonersDilemma,Mediation,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P2,Multidimensional reasoning,7
PrisonersDilemma,Mediation,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P2,Strategic influence,7
PrisonersDilemma,Mediation,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P2,Risk aversion,6
PrisonersDilemma,Mediation,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P2,Exploration-exploitation trade-off,3
PrisonersDilemma,Mediation,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P2,Trust evaluation,2
PrisonersDilemma,Mediation,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P2,Social welfare maximization,1
PrisonersDilemma,Mediation,openai/gpt-5.2,openai/gpt-5.2(CoT)#P1,Strategic equilibrium focus,8
PrisonersDilemma,Mediation,openai/gpt-5.2,openai/gpt-5.2(CoT)#P1,Individual utility maximization,6
PrisonersDilemma,Mediation,openai/gpt-5.2,openai/gpt-5.2(CoT)#P2,Strategic equilibrium focus,6
PrisonersDilemma,Mediation,openai/gpt-5.2,openai/gpt-5.2(CoT)#P2,Individual utility maximization,5
PrisonersDilemma,Mediation,openai/gpt-5.2,openai/gpt-5.2(CoT)#P2,Strategic influence,1
PrisonersDilemma,Mediation,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P1,Strategic equilibrium focus,18
PrisonersDilemma,Mediation,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P1,Individual utility maximization,13
PrisonersDilemma,Mediation,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P1,Multidimensional reasoning,6
PrisonersDilemma,Mediation,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P1,Risk aversion,1
PrisonersDilemma,Mediation,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P1,Uncertainty evaluation,1
PrisonersDilemma,Mediation,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P1,Trust evaluation,1
PrisonersDilemma,Mediation,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P2,Individual utility maximization,18
PrisonersDilemma,Mediation,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P2,Strategic equilibrium focus,18
PrisonersDilemma,Mediation,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P2,Multidimensional reasoning,5
PrisonersDilemma,Mediation,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P2,Strategic influence,3
PrisonersDilemma,NoMechanism,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P1,Individual utility maximization,18
PrisonersDilemma,NoMechanism,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P1,Strategic equilibrium focus,18
PrisonersDilemma,NoMechanism,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P2,Individual utility maximization,18
PrisonersDilemma,NoMechanism,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P2,Strategic equilibrium focus,14
PrisonersDilemma,NoMechanism,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P1,Strategic equilibrium focus,18
PrisonersDilemma,NoMechanism,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P1,Individual utility maximization,16
PrisonersDilemma,NoMechanism,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P1,Social welfare maximization,2
PrisonersDilemma,NoMechanism,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P1,Reciprocity,2
PrisonersDilemma,NoMechanism,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P1,Strategic influence,2
PrisonersDilemma,NoMechanism,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P1,Uncertainty evaluation,1
PrisonersDilemma,NoMechanism,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P1,Risk aversion,1
PrisonersDilemma,NoMechanism,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P2,Individual utility maximization,18
PrisonersDilemma,NoMechanism,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P2,Strategic equilibrium focus,18
PrisonersDilemma,NoMechanism,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P2,Risk aversion,1
PrisonersDilemma,NoMechanism,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Individual utility maximization,16
PrisonersDilemma,NoMechanism,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Strategic equilibrium focus,14
PrisonersDilemma,NoMechanism,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Uncertainty evaluation,9
PrisonersDilemma,NoMechanism,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Risk aversion,5
PrisonersDilemma,NoMechanism,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Multidimensional reasoning,2
PrisonersDilemma,NoMechanism,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Strategic influence,2
PrisonersDilemma,NoMechanism,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Inequity aversion,1
PrisonersDilemma,NoMechanism,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Rule misunderstanding,1
PrisonersDilemma,NoMechanism,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Strategy legibility,1
PrisonersDilemma,NoMechanism,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P2,Individual utility maximization,14
PrisonersDilemma,NoMechanism,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P2,Strategic equilibrium focus,13
PrisonersDilemma,NoMechanism,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P2,Uncertainty evaluation,12
PrisonersDilemma,NoMechanism,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P2,Risk aversion,2
PrisonersDilemma,NoMechanism,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P2,Multidimensional reasoning,2
PrisonersDilemma,NoMechanism,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P2,Strategic influence,2
PrisonersDilemma,NoMechanism,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P2,Exploration-exploitation trade-off,2
PrisonersDilemma,NoMechanism,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P2,Rule misunderstanding,1
PrisonersDilemma,NoMechanism,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P2,Inequity aversion,1
PrisonersDilemma,NoMechanism,openai/gpt-5.2,openai/gpt-5.2(CoT)#P1,Individual utility maximization,7
PrisonersDilemma,NoMechanism,openai/gpt-5.2,openai/gpt-5.2(CoT)#P1,Strategic equilibrium focus,3
PrisonersDilemma,NoMechanism,openai/gpt-5.2,openai/gpt-5.2(CoT)#P2,Individual utility maximization,8
PrisonersDilemma,NoMechanism,openai/gpt-5.2,openai/gpt-5.2(CoT)#P2,Strategic equilibrium focus,4
PrisonersDilemma,NoMechanism,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P1,Strategic equilibrium focus,18
PrisonersDilemma,NoMechanism,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P1,Individual utility maximization,16
PrisonersDilemma,NoMechanism,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P1,Rule misunderstanding,1
PrisonersDilemma,NoMechanism,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P1,Risk aversion,1
PrisonersDilemma,NoMechanism,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P2,Individual utility maximization,18
PrisonersDilemma,NoMechanism,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P2,Strategic equilibrium focus,18
PrisonersDilemma,Repetition,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P1,Individual utility maximization,247
PrisonersDilemma,Repetition,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P1,Strategic influence,219
PrisonersDilemma,Repetition,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P1,Trust evaluation,156
PrisonersDilemma,Repetition,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P1,Strategic equilibrium focus,142
PrisonersDilemma,Repetition,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P1,Multidimensional reasoning,138
PrisonersDilemma,Repetition,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P1,Reciprocity,135
PrisonersDilemma,Repetition,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P1,Uncertainty evaluation,63
PrisonersDilemma,Repetition,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P1,Risk aversion,23
PrisonersDilemma,Repetition,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P1,Strategy legibility,5
PrisonersDilemma,Repetition,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P1,Social welfare maximization,3
PrisonersDilemma,Repetition,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P1,Exploration-exploitation trade-off,2
PrisonersDilemma,Repetition,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P2,Individual utility maximization,252
PrisonersDilemma,Repetition,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P2,Strategic influence,218
PrisonersDilemma,Repetition,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P2,Reciprocity,143
PrisonersDilemma,Repetition,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P2,Strategic equilibrium focus,135
PrisonersDilemma,Repetition,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P2,Trust evaluation,135
PrisonersDilemma,Repetition,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P2,Multidimensional reasoning,126
PrisonersDilemma,Repetition,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P2,Uncertainty evaluation,77
PrisonersDilemma,Repetition,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P2,Risk aversion,18
PrisonersDilemma,Repetition,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P2,Strategy legibility,7
PrisonersDilemma,Repetition,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P2,Exploration-exploitation trade-off,2
PrisonersDilemma,Repetition,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P2,Social welfare maximization,2
PrisonersDilemma,Repetition,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P1,Individual utility maximization,221
PrisonersDilemma,Repetition,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P1,Strategic influence,205
PrisonersDilemma,Repetition,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P1,Strategic equilibrium focus,170
PrisonersDilemma,Repetition,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P1,Trust evaluation,139
PrisonersDilemma,Repetition,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P1,Reciprocity,125
PrisonersDilemma,Repetition,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P1,Multidimensional reasoning,92
PrisonersDilemma,Repetition,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P1,Uncertainty evaluation,48
PrisonersDilemma,Repetition,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P1,Social welfare maximization,29
PrisonersDilemma,Repetition,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P1,Risk aversion,15
PrisonersDilemma,Repetition,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P1,Strategy legibility,1
PrisonersDilemma,Repetition,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P2,Individual utility maximization,226
PrisonersDilemma,Repetition,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P2,Strategic influence,212
PrisonersDilemma,Repetition,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P2,Strategic equilibrium focus,144
PrisonersDilemma,Repetition,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P2,Reciprocity,112
PrisonersDilemma,Repetition,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P2,Trust evaluation,99
PrisonersDilemma,Repetition,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P2,Multidimensional reasoning,93
PrisonersDilemma,Repetition,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P2,Uncertainty evaluation,59
PrisonersDilemma,Repetition,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P2,Social welfare maximization,30
PrisonersDilemma,Repetition,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P2,Risk aversion,29
PrisonersDilemma,Repetition,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P2,Strategy legibility,2
PrisonersDilemma,Repetition,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Strategic influence,252
PrisonersDilemma,Repetition,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Uncertainty evaluation,193
PrisonersDilemma,Repetition,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Trust evaluation,170
PrisonersDilemma,Repetition,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Multidimensional reasoning,148
PrisonersDilemma,Repetition,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Reciprocity,126
PrisonersDilemma,Repetition,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Individual utility maximization,107
PrisonersDilemma,Repetition,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Social welfare maximization,103
PrisonersDilemma,Repetition,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Risk aversion,68
PrisonersDilemma,Repetition,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Exploration-exploitation trade-off,50
PrisonersDilemma,Repetition,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Strategic equilibrium focus,15
PrisonersDilemma,Repetition,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Inequity aversion,1
PrisonersDilemma,Repetition,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Strategy legibility,1
